web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707789-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfant-774840","Robes pour enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png"
"1732707796-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-774845","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
"1732707802-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-776065","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
"1732707808-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-776078","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
"1732707815-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776102","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png"
"1732707821-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776951","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707828-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776960","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707834-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777011","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707841-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777013","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707847-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777015","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707854-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777019","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
