type_clothes,price,adress,image_link
Friperie,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516547_uploaded_image1_1703706216.jpg
Friperie,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513354_uploaded_image3_1703506745.jpeg
Blouson,5000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
Blouson,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511870_uploaded_image1_1703349818.jpg
Friperie,3500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509708_uploaded_image1_1703199232.jpg
Ensemble,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
Caleçons,6000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4483580_uploaded_image1_1701637915.jpg
Ensemble,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4455065_uploaded_image1_1699814184.jpg
Ensemble,23000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
Boxers,6500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4471141_uploaded_image1_1700838256.jpg
Slips,7000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg
Polos,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg
Vêtement,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394813_uploaded_image1_1695942485.jpg
Jeans,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg
Robe,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg
Robe,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg
Bambinerie,Prixsurdemande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4416818_uploaded_image3_1697296868.jpeg
Pantalon,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4405127_uploaded_image1_1696582094.jpg
Polo,1500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4405119_uploaded_image1_1696581900.jpg
Ensemble,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402991_uploaded_image1_1696452237.jpg
Ensemble,14000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg
Vêtements,4000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4350530_uploaded_image1_1692994986.jpg
Short,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381693_uploaded_image1_1695062191.jpg
Robe,9300,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4342288_uploaded_image1_1692460517.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375138_uploaded_image1_1694611073.jpg
Vêtement,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375129_uploaded_image1_1694610764.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375124_uploaded_image1_1694610661.jpg
Ensemble,15300,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4340725_uploaded_image1_1692365333.jpg
T-shirt,9000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg
Vêtement,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333845_uploaded_image1_1691951676.jpg
Vêtement,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4330580_uploaded_image1_1691701473.jpg
Vêtement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4330576_uploaded_image1_1691701385.jpg
Vêtement,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327566_uploaded_image1_1691526561.jpg
Maillot,2000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg
Vêtements,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4314416_uploaded_image1_1690724018.jpg
Couette,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4338195_uploaded_image1_1692223604.jpg
Djellaba,8500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg
Pyjama,6000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4316063_uploaded_image2_1690843428.jpeg
Culotte,15000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg
Vêtements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268608_uploaded_image1_1687563200.jpg
Vêtements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268605_uploaded_image1_1687563103.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267930_uploaded_image1_1687524110.jpg
Ensemble,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267915_uploaded_image1_1687523597.jpg
Vêtements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4266992_uploaded_image1_1687458981.jpg
Vêtements,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4265951_uploaded_image1_1687419299.jpg
Pantalon,6500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg
Hijab,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4280858_uploaded_image1_1688492406.jpg
Robe,Prixsurdemande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4273754_uploaded_image1_1687981649.jpg
Maillots,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267451_uploaded_image1_1687487532.jpg
Sous,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4224162_uploaded_image1_1684629308.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258723_uploaded_image1_1686906445.jpg
Ensemble,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258722_uploaded_image3_1686906376.jpeg
Pantalons,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258717_uploaded_image2_1686906277.jpeg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258716_uploaded_image1_1686906201.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258714_uploaded_image1_1686906133.jpg
Maillot,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4236342_uploaded_image1_1685480812.jpg
Robes,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223428_uploaded_image1_1684582026.jpg
Robes,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223425_uploaded_image3_1684581867.jpeg
Vêtements,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4172007_uploaded_image1_1681208524.jpg
Robe,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168633_uploaded_image1_1680958304.jpg
Robe,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168626_uploaded_image1_1680958148.jpg
Vêtements,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167331_uploaded_image1_1680874307.jpg
Vêtements,18000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167321_uploaded_image1_1680873861.jpg
Vêtements,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167311_uploaded_image1_1680873676.jpg
Vêtement,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4166510_uploaded_image1_1680822103.jpg
Survetmemt,1000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165543_uploaded_image1_1680781784.jpg
Jeans,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4157493_uploaded_image1_1680338403.jpg
Robe,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4153017_uploaded_image1_1680040477.jpg
Ensemble,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4153014_uploaded_image1_1680040385.jpg
Vêtements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154892_uploaded_image1_1680171892.jpg
Emsemble,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154884_uploaded_image1_1680171641.jpg
Vêtements,9000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154876_uploaded_image1_1680171312.jpg
Jeans,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154870_uploaded_image1_1680171128.jpg
Jeans,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154864_uploaded_image1_1680170947.jpg
Jeans,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154867_uploaded_image1_1680171042.jpg
Robe,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4154854_uploaded_image1_1680170186.jpg
Vêtements,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4187195_uploaded_image1_1682250912.jpg
Cole,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4126921_uploaded_image1_1678367548.jpg
Vêtement,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4158777_uploaded_image1_1680396815.jpg
Vêtement,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4158775_uploaded_image1_1680396659.jpg
Vêtement,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4158770_uploaded_image1_1680396418.jpg
Ensemble,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4117238_uploaded_image1_1677785061.jpg
