type_clothes,price,address,image_link-src
Robe pour enfants,5 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Vêtements enfant,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Robes,9 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1330054_uploaded_image1_1576151241.57.png
Robe - enfant,Prix sur demande,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1330043_uploaded_image1_1576151148.98.png
Vêtements,Prix sur demande,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Boxer slip fille,4 000 CFA,Sénégal,https://images.coinafrique.com/thumb_1344415_uploaded_image1_1576424608.36.png
Robe fillette,13 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1373672_uploaded_image1_1576952145.0.png
Robe fillette,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1373672_uploaded_image1_1576952145.0.png
Habits pour enfant,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Blousons enfant,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1393205_uploaded_image1_1577378467.25.png
Jogging enfant,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2729083_uploaded_image1_1604195337.jpg
Blouson Enfant,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1393205_uploaded_image1_1577378467.25.png
Chemises enfant,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2485966_uploaded_image1_1595790569.jpg
Vêtement pour enfant,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Friperie,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3269998_uploaded_image1_1628452686.jpg
Vêtements Enfants,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Habit enfant,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Ensemble enfants,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Ensembles pour enfant,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Ensemble  enfants garçons,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2133600_uploaded_image1_1589810793.jpg
Ensemble Fille,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1468335_uploaded_image1_1578834783.45.png
Robes fillettes,12 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2537979_uploaded_image1_1597257740.jpg
Ensemble enfant,6 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3899030_uploaded_image1_1664501471.jpg
Complet enfant,6 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2110252_uploaded_image1_1589447206.jpg
Vêtement enfant,7 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Lacoste enfant,4 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1543886_uploaded_image1_1580076977.34.png
Lacoste 2-6 ans,4 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1543944_uploaded_image1_1580077931.79.png
Polo Lacoste 2-6 ans,4 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1543944_uploaded_image1_1580077931.79.png
Polo Lacoste,4 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1543944_uploaded_image1_1580077931.79.png
Ensemble bébé,6 000 CFA,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg
Ensemble bébé,5 000 CFA,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg
Chemise enfant,5 000 CFA,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1910234_uploaded_image1_1586298807.14.png
Tenue mardi gras,25 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1697316_uploaded_image1_1582554886.1.png
Tenue mardi gras,25 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1607904_uploaded_image1_1581036553.31.png
Tenues pour mardi-gras,25 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1607904_uploaded_image1_1581036553.31.png
Ensemble short,10 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2238880_uploaded_image1_1591454589.jpg
Vêtements enfants,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Boxers enfants,7 000 CFA,"Patte d'Oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3516897_uploaded_image1_1641755817.jpg
Tenues mardi-gras,20 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1607904_uploaded_image1_1581036553.31.png
Vêtements enfant,10 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Robe,10 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3308950_uploaded_image1_1630499428.jpg
Robe enfant,5 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_1784678_uploaded_image1_1584029251.42.png
Habits pour enfants,1 500 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3252830_uploaded_image1_1627680137.jpg
Boxer slip fille,3 500 CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1344415_uploaded_image1_1576424608.36.png
Robe enfant,5 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1773838_uploaded_image1_1583862932.13.png
Ensemble enfant,10 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Vêtement enfant,10 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
Robe enfant fille,5 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4273754_uploaded_image1_1687981649.jpg
