type_shoes,price,address,image_link-src
Chaussures  homme,,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996689_uploaded_image1_1729081529.jpg
Baskets,,"Thies, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures,,"Dagana, Sénégal",https://images.coinafrique.com/thumb_2337647_uploaded_image1_1592989019.jpg
Baskets Nike TN,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930602_uploaded_image1_1725607780.jpg
Chaussures Nike 270,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2346085_uploaded_image1_1593101383.jpg
Baskets Puma,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247880_uploaded_image1_1627416265.jpg
Baskets Nike Shox,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2339221_uploaded_image1_1593003872.jpg
Baskeks Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2339233_uploaded_image1_1593003992.jpg
Baskets Vapormax,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2346061_uploaded_image1_1593101133.jpg
Chaussures Adidas,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3981064_uploaded_image1_1669457239.jpg
Baskets homme,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5041529_uploaded_image1_1731493422.jpg
Sandales  homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4932549_uploaded_image1_1725710116.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Sandales,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Sandales Puma,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2340675_uploaded_image1_1593019671.jpg
Chaussures Dior,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3871405_uploaded_image1_1662755825.jpg
Chaussures Nike AF,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2340881_uploaded_image1_1593022637.jpg
Chaussures Nike Zoom,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2340884_uploaded_image1_1593022682.jpg
Sandales homme,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2341287_uploaded_image1_1593028876.jpg
Sandales Louboutin,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3165788_uploaded_image1_1623370676.jpg
Sandales Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2341406_uploaded_image1_1593031346.jpg
Chaussures homme,,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3187916_uploaded_image1_1624457598.jpg
Baskets Adidas,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5040981_uploaded_image1_1731454854.jpg
Chaussures chic,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2342541_uploaded_image1_1593046962.jpg
Sandales Adidas,,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2342751_uploaded_image1_1593054672.jpg
