web-scraper-order,web-scraper-start-url,chaussures_enfants,chaussures_enfants-href,type_shoes,price,address,image_link-src
"1732738557-61","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905373","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738564-62","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905376","Chaussures pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738570-63","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905378","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738576-64","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905383","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738583-65","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905385","chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738589-66","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905388","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738596-67","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905394","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738602-68","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905397","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738609-69","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905399","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738615-70","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905401","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738622-71","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905406","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738628-72","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905410","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738635-73","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905412","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738641-74","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures   enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905416","Chaussures   enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738647-75","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905422","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738654-76","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905424","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738660-77","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905429","Chaussures pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738667-78","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905430","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738673-79","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905432","Chaussures pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738680-80","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905437","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738686-81","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905439","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738693-82","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905442","Chaussures  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738699-83","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905446","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738706-84","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905450","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738712-85","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905452","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
